Rating,Opponent_Rating,Result,Termination,Datetime,Location
1307,1280,W,checkmate,2023-07-28 11:37:18,France
1299,1309,L,time,2023-07-28 10:20:17,Greece
1299,1351,L,time,2023-07-27 18:11:14,Romania
1315,1318,W,time,2023-07-27 17:22:43,Chile
1307,1321,W,time,2023-07-27 17:14:55,Spain
1298,1297,W,checkmate,2023-07-27 17:10:14,Uzbekistan
1291,1279,W,checkmate,2023-07-27 15:37:59,Armenia
1283,1230,W,time,2023-07-27 13:54:57,Philippines
1276,1261,W,checkmate,2023-07-27 12:20:53,Germany
1279,1265,L,time,2023-07-26 13:15:35,Argentina
1288,1319,L,checkmate,2023-07-26 10:55:09,Spain
1288,1290,D,material,2023-07-25 15:17:46,United States
1280,1305,L,time,2023-07-25 13:35:47,New Zealand
1288,1286,L,time,2023-07-25 13:02:20,Germany
1296,1288,W,time,2023-07-25 12:39:41,Spain
1297,1259,W,resignation,2023-07-24 22:05:37,Canada
1290,1282,L,checkmate,2023-07-24 22:04:42,Ukraine
1291,1274,L,time,2023-07-24 18:22:01,Israel
1300,1320,W,resignation,2023-07-24 18:15:04,Mexico
1284,1228,W,time,2023-07-24 16:00:34,Canada
1284,1311,L,time,2023-07-23 10:58:04,Taiwan
1292,1309,W,time,2023-07-23 10:13:19,United States
1283,1279,W,time,2023-07-20 16:54:00,Argentina
1267,1208,W,checkmate,2023-07-20 13:13:57,Italy
1244,1284,L,time,2023-07-19 17:38:01,France
1251,1294,L,time,2023-07-19 16:56:35,Indonesia
1266,1257,W,time,2023-07-19 12:12:16,United States
1258,1271,L,time,2023-07-19 11:38:01,Germany
1259,1230,W,resignation,2023-07-19 11:10:17,United States
1252,1309,L,checkmate,2023-07-18 20:25:37,Sweden
1267,1251,L,time,2023-07-18 19:46:48,Afghanistan
1276,1256,W,time,2023-07-18 16:11:27,Vietnam
1267,1286,W,checkmate,2023-07-18 12:36:46,Dominican Republic
1258,1247,W,time,2023-07-18 12:31:06,United States
1258,1254,W,time,2023-07-16 21:50:01,United States
1242,1184,W,checkmate,2023-07-16 17:56:14,United States
1243,1272,L,time,2023-07-16 13:49:49,Ireland
1245,1230,L,time,2023-07-15 18:03:21,Netherlands
1254,1220,W,time,2023-07-15 17:35:20,Croatia
1255,1251,L,time,2023-07-15 11:56:46,American Samoa
1264,1266,W,checkmate,2023-07-15 10:17:46,India
1255,1261,L,time,2023-07-14 19:06:41,United States
1263,1309,L,time,2023-07-14 18:29:11,Argentina
1295,1265,W,checkmate,2023-07-14 15:33:19,Catalonia
1287,1297,W,time,2023-07-14 15:29:52,Canada
1272,1274,L,time,2023-07-14 12:12:58,Canada
1280,1248,W,time,2023-07-14 12:09:20,United Kingdom
1258,1279,L,time,2023-07-13 14:47:20,Spain
1275,1232,W,checkmate,2023-07-13 10:25:53,United Kingdom
1275,1272,W,time,2023-07-12 18:46:15,Italy
1267,1255,W,time,2023-07-12 17:03:47,Portugal
1259,1228,L,time,2023-07-12 16:59:51,Catalonia
1267,1262,W,time,2023-07-12 15:46:05,France
1259,1236,W,time,2023-07-12 15:38:05,Brazil
1246,1253,L,checkmate,2023-07-12 13:58:45,Italy
1254,1268,L,time,2023-07-12 13:47:24,Malaysia
1270,1245,L,checkmate,2023-07-12 11:55:33,Italy
1279,1241,W,time,2023-07-12 09:29:03,Bangladesh
1280,1309,L,time,2023-07-10 18:02:28,Germany
1279,1273,L,time,2023-07-10 17:32:30,United States
1288,1279,L,checkmate,2023-07-10 16:39:59,India
1289,1367,L,time,2023-07-10 12:55:15,Norway
1296,1276,W,checkmate,2023-07-10 12:52:22,Ukraine
1314,1317,L,checkmate,2023-07-10 12:11:01,Canada
1322,1385,L,time,2023-07-10 11:43:17,Norway
1321,1367,L,time,2023-07-09 16:32:34,Germany
1328,1279,W,resignation,2023-07-09 16:32:30,Italy
1337,1306,L,time,2023-07-09 12:38:17,Wales
1346,1250,W,resignation,2023-07-09 12:12:05,Egypt
1348,1334,W,time,2023-07-09 10:10:50,Philippines
1332,1328,L,time,2023-07-09 08:15:54,Egypt
1332,1401,L,time,2023-07-08 16:04:03,United Kingdom
1339,1330,L,time,2023-07-08 09:07:36,Turkey
1339,1303,W,resignation,2023-07-08 06:01:09,China
1338,1340,L,time,2023-07-07 11:06:57,Hong Kong
1353,1390,L,time,2023-07-07 09:04:52,India
1354,1405,L,time,2023-07-06 14:27:46,International
1361,1421,L,time,2023-07-06 13:17:53,India
1368,1360,W,time,2023-07-06 13:11:17,South Africa
1351,1291,L,time,2023-07-06 09:27:44,United Arab Emirates
1352,1298,W,resignation,2023-07-05 14:48:00,Switzerland
1361,1299,W,time,2023-07-05 12:26:44,United Kingdom
1354,1395,L,time,2023-07-05 12:11:20,Austria
1361,1401,L,checkmate,2023-07-05 11:51:45,Israel
1368,1340,L,checkmate,2023-07-05 11:47:04,Italy
1394,1392,W,resignation,2023-07-04 15:52:39,Ukraine
1378,1407,L,time,2023-07-04 12:03:52,Turkey
1393,1356,W,resignation,2023-07-03 18:21:23,Canada
1386,1335,W,checkmate,2023-07-03 15:40:49,Russia
1386,1434,L,time,2023-07-03 14:05:29,Brazil
1401,1459,L,time,2023-07-03 12:27:36,India
1408,1456,W,time,2023-07-03 11:48:17,India
1398,1389,L,time,2023-07-03 11:36:21,Colombia
1400,1429,L,checkmate,2023-07-03 10:29:21,Netherlands
1416,1431,W,checkmate,2023-07-02 17:40:06,Spain
